load,year,month,day,hour,minute,humidity,temperature
1,2019,3,14,14,10,,73.760001373291
1,2019,3,14,14,11,26.2999992370605,73.939998626709
1,2019,3,14,14,20,79.0999984741211,129.379997253418
1,2019,3,14,14,30,79.0999984741211,129.2
1,2019,3,14,14,40,80.9000015258789,129.2
1,2019,3,14,14,50,80.0,129.379997253418
1,2019,3,14,15,0,81.0999984741211,129.2
1,2019,3,14,15,10,81.0,129.379997253418
1,2019,3,14,15,20,81.0,129.379997253418
1,2019,3,14,15,30,81.5,129.379997253418
1,2019,3,14,15,40,82.0,129.560001373291
1,2019,3,14,15,50,81.8000030517578,129.920002746582
1,2019,3,14,16,0,81.5,130.279997253418
1,2019,3,14,16,10,81.5999984741211,130.1
1,2019,3,14,16,20,81.6999969482422,130.279997253418
1,2019,3,14,16,30,82.3000030517578,130.279997253418
1,2019,3,14,16,40,82.1999969482422,130.279997253418
1,2019,3,14,16,50,82.5,130.279997253418
1,2019,3,14,17,0,82.3000030517578,130.460001373291
1,2019,3,14,17,10,82.6999969482422,130.460001373291
1,2019,3,14,17,20,82.3000030517578,130.460001373291
1,2019,3,14,17,30,82.4000015258789,130.639998626709
1,2019,3,14,17,40,82.4000015258789,130.639998626709
1,2019,3,14,17,50,82.0999984741211,130.820002746582
1,2019,3,14,18,0,82.0999984741211,130.820002746582
1,2019,3,14,18,10,81.6999969482422,130.820002746582
1,2019,3,14,18,20,81.9000015258789,130.820002746582
1,2019,3,14,18,30,82.0999984741211,130.820002746582
1,2019,3,14,18,40,81.8000030517578,131.0
1,2019,3,14,18,50,82.0999984741211,131.0
1,2019,3,14,19,0,81.9000015258789,131.0
1,2019,3,14,19,10,82.5,131.179997253418
1,2019,3,14,19,20,82.6999969482422,131.360001373291
1,2019,3,14,19,30,82.0999984741211,131.360001373291
1,2019,3,14,19,40,82.0999984741211,131.360001373291
1,2019,3,14,19,50,82.4000015258789,131.360001373291
1,2019,3,14,20,0,81.9000015258789,131.360001373291
1,2019,3,14,20,10,82.1999969482422,131.360001373291
1,2019,3,14,20,20,81.9000015258789,131.539998626709
1,2019,3,14,20,30,81.6999969482422,131.539998626709
1,2019,3,14,20,40,81.6999969482422,131.360001373291
1,2019,3,14,20,50,81.1999969482422,131.179997253418
1,2019,3,14,21,0,81.0,131.539998626709
1,2019,3,14,21,10,81.0999984741211,131.360001373291
1,2019,3,14,21,20,81.1999969482422,131.179997253418
1,2019,3,14,21,30,81.0,131.360001373291
1,2019,3,14,21,40,80.6999969482422,131.360001373291
1,2019,3,14,21,50,80.3000030517578,131.360001373291
1,2019,3,14,22,0,81.0,131.360001373291
1,2019,3,14,22,10,81.0,131.539998626709
1,2019,3,14,22,20,81.4000015258789,131.360001373291
1,2019,3,14,22,30,81.4000015258789,131.539998626709
1,2019,3,14,22,40,81.0999984741211,131.539998626709
1,2019,3,14,22,50,81.1999969482422,131.539998626709
1,2019,3,14,23,0,81.5,131.539998626709
1,2019,3,14,23,10,81.1999969482422,131.539998626709
1,2019,3,14,23,20,81.5,131.539998626709
1,2019,3,14,23,30,80.5,131.539998626709
1,2019,3,14,23,40,80.8000030517578,131.720002746582
1,2019,3,14,23,50,81.1999969482422,131.720002746582
1,2019,3,15,0,0,81.0999984741211,131.720002746582
1,2019,3,15,0,10,80.0,131.720002746582
1,2019,3,15,0,20,81.0999984741211,131.720002746582
1,2019,3,15,0,30,80.5,131.720002746582
1,2019,3,15,0,40,80.6999969482422,131.720002746582
1,2019,3,15,0,50,80.5999984741211,131.360001373291
1,2019,3,15,1,0,80.6999969482422,131.720002746582
1,2019,3,15,1,10,80.4000015258789,131.720002746582
1,2019,3,15,1,20,81.3000030517578,131.720002746582
1,2019,3,15,1,30,81.5999984741211,131.539998626709
1,2019,3,15,1,40,81.0,131.720002746582
1,2019,3,15,1,50,80.3000030517578,131.720002746582
1,2019,3,15,2,0,79.4000015258789,131.720002746582
1,2019,3,15,2,10,79.5,131.539998626709
1,2019,3,15,2,20,80.5,131.539998626709
1,2019,3,15,2,30,80.4000015258789,131.720002746582
1,2019,3,15,2,40,80.8000030517578,131.720002746582
1,2019,3,15,2,50,80.6999969482422,131.720002746582
1,2019,3,15,3,0,80.8000030517578,131.539998626709
1,2019,3,15,3,10,80.0,131.539998626709
1,2019,3,15,3,20,80.0999984741211,131.720002746582
1,2019,3,15,3,30,80.8000030517578,131.720002746582
1,2019,3,15,3,40,80.3000030517578,131.9
1,2019,3,15,3,50,80.1999969482422,131.720002746582
1,2019,3,15,4,0,80.6999969482422,131.720002746582
1,2019,3,15,4,10,79.6999969482422,131.720002746582
1,2019,3,15,4,20,79.5,131.539998626709
1,2019,3,15,4,30,79.8000030517578,131.539998626709
1,2019,3,15,4,40,79.5999984741211,131.720002746582
1,2019,3,15,4,50,80.0999984741211,131.539998626709
1,2019,3,15,5,0,79.9000015258789,131.720002746582
1,2019,3,15,5,10,80.1999969482422,131.539998626709
1,2019,3,15,5,20,80.0,131.720002746582
1,2019,3,15,5,30,79.9000015258789,131.9
